id,price,currency,latitude,longitude,sq_meters,sq_meters_built,rooms,bathrooms,balcony,terrace,exterior,orientation,floor,rooftop,elevator,doorman,pool,ac,heating,year_built,quality,city,neighborhood,dist_city_center,furniture,garage,property_type,garden,closest_station,dist_closest_station,created_at,last_seen
95266442,700, €/mes,41.3930547,2.1302041,,35,0,1,,,, sur,,,1,,,,na,1962,2,Barcelona,Les Tres Torres,3.363400934,,,estudio,,Maria Cristina,0.689332986,10/3/2021 22:11,10/22/2021 19:40
95268628,870, €/mes,41.3725586,2.1313482,64,70,3,1,,,1, sur,1,,1,,,,na,1951,2,Barcelona,Sants,3.643509868,,,piso,,Mercat Nou,0.189160597,10/4/2021 6:01,10/4/2021 6:01
95269268,710, €/mes,41.3794622,2.1651756,51,58,2,1,,1,,NULL,,,0,,,,NULL,1900,2,Barcelona,El Raval,1.018637434,,,piso,,Sant Antoni,0.166632193,10/3/2021 23:18,10/22/2021 19:40
95270275,800, €/mes,41.3875431,2.1454113,50,56,1,1,1,,0,NULL,2,,1,,,1,individual,,2,Barcelona,La Nova Esquerra de l'Eixample,2.045648258,3,,piso,,Entença,0.342607185,10/4/2021 2:44,11/12/2021 11:37
95271079,920, €/mes,41.4060924,2.1475793,60,65,3,2,1,,1, sur,2,,1,,,,gas,1978,2,Barcelona,El Putxet i el Farró,2.751269747,3,,piso,,Lesseps,0.239187328,11/10/2021 15:57,11/12/2021 15:05
95271131,944, €/mes,41.403997,2.1402403,,54,2,1,,,1,,3,,1,,,,gas,,2,Barcelona,Sant Gervasi - Galvany,3.055926146,3,,piso,,Lesseps,0.870028373,11/11/2021 14:58,11/11/2021 14:58
95271703,760, €/mes,41.3761629,2.1569635,44,48,0,1,,1,1, norte,,,1,,,,na,1967,2,Barcelona,El Poble Sec - Parc de Montjuïc,1.695177293,3,,estudio,,Poble Sec,0.303068256,10/4/2021 1:23,11/11/2021 17:50
95272180,750, €/mes,41.4172348,2.1756356,46,47,3,1,,,1, oeste,,,1,,,,NULL,1973,2,Barcelona,El Guinardó,3.297566462,3,,piso,,Guinardó | Hospital de Sant Pau ,0.197231867,10/4/2021 13:50,10/22/2021 22:23
95272862,900, €/mes,41.4137111,2.1827421,86,96,3,1,,1,1,NULL,1,,0,,,1,bomba,1948,2,Barcelona,El Camp de l'Arpa del Clot,3.06380449,3,,piso,,Camp de l'Arpa,0.182432989,11/10/2021 15:21,11/12/2021 13:29
95273548,950, €/mes,41.3914458,2.1421894,94,102,2,1,1,,1, este,,,1,,,,na,1962,2,Barcelona,La Nova Esquerra de l'Eixample,2.347431914,,,piso,,Hospital Clínic,0.806347568,11/10/2021 20:44,11/12/2021 16:05
