id,price,currency,latitude,longitude,sq_meters,sq_meters_built,rooms,bathrooms,balcony,terrace,exterior,orientation,floor,rooftop,elevator,doorman,pool,ac,heating,year_built,quality,city,neighborhood,dist_city_center,furniture,garage,property_type,garden,closest_station,dist_closest_station,created_at,last_seen
94967870,369000, €,41.3951815,2.1936804,55.0,71,3,2,1.0,,0.0, norte,2.0,,1.0,,,1.0,electric,1930.0,2,Barcelona,El Parc i la Llacuna del Poblenou,2.141745065,,,piso,,Bogatell,0.139422549,8/28/2021 17:53,8/29/2021 11:47
94968516,219000, €,41.3770198,2.1720738,56.0,60,2,1,1.0,,1.0, sur,4.0,,0.0,,,1.0,,1850.0,2,Barcelona,El Raval,1.223479069,,,piso,,Drassanes,0.304430379,8/29/2021 11:47,8/29/2021 11:47
94968568,79000, €,41.3777464,2.1640798,25.0,28,1,1,,,1.0,,1.0,,0.0,,,,,1783.0,2,Barcelona,El Raval,1.230068865,,,piso,,Sant Antoni,0.24240043,9/3/2021 12:18,11/12/2021 16:40
94969256,118000, €,41.4540237,2.1926661,35.0,40,1,1,,1.0,1.0, oeste,2.0,,0.0,,,1.0,na,1960.0,2,Barcelona,La Trinitat Vella,7.595679262,,,piso,,Trinitat Vella,0.572019595,9/3/2021 17:07,11/11/2021 20:54
94969687,339000, €,41.3823885,2.1633764,78.0,84,3,1,1.0,,, sur,,,1.0,,,1.0,electric,1890.0,2,Barcelona,Sant Antoni,0.820995981,,,piso,,Sant Antoni,0.284489774,8/30/2021 12:17,8/30/2021 12:17
94970335,69000, €,41.4358371,2.1720193,,60,2,1,,,1.0,,,,0.0,,,,,1955.0,2,Barcelona,Can Peguera - El Turó de la Peira,5.334910678,,,piso,,Llucmajor,0.168770874,8/30/2021 12:17,9/6/2021 12:32
94970445,290000, €,41.3825378,2.1726397,65.0,70,3,1,1.0,1.0,1.0, sur,3.0,,0.0,,,1.0,,1900.0,2,Barcelona,El Gòtic,0.638162655,,,piso,,Liceu,0.125801173,8/28/2021 17:53,8/29/2021 11:47
94970576,105000, €,41.4417385,2.1732205,42.0,51,2,1,1.0,,1.0, este,3.0,,0.0,,,1.0,,1956.0,2,Barcelona,Nou Barris,5.994772681,,,piso,,Via Júlia,0.496532432,9/3/2021 13:04,10/22/2021 20:53
94970807,390000, €,41.3765889,2.168256,100.0,120,4,1,,,,,,,,,,,,,2,Barcelona,Eixample,1.26577302,,,piso,,Paral·lel,0.232451873,8/30/2021 10:35,9/1/2021 1:12
94971526,155000, €,41.4216123,2.1570396,,64,3,1,1.0,,1.0, norte,2.0,,0.0,,,1.0,bomba,,2,Barcelona,El Carmel,3.900750384,,,piso,,El Carmel,0.366469518,9/3/2021 10:47,9/8/2021 13:30
94971532,85000, €,41.4474767,2.1787443,67.0,75,1,1,,1.0,1.0, este,,,0.0,,,,na,1960.0,2,Barcelona,Nou Barris,6.667459121,,,piso,,Roquetes,0.221698999,9/3/2021 12:18,10/4/2021 10:04
94973307,120000, €,41.425963,2.1535421,49.0,50,3,2,,,, norte,,1.0,0.0,,,,,1959.0,2,Barcelona,El Carmel,4.44875809,,,atico,,El Carmel,0.202138193,9/2/2021 16:12,10/22/2021 23:10
94973402,158000, €,41.4240406,2.1886326,,38,1,1,,,1.0,,1.0,,0.0,,,,na,1900.0,2,Barcelona,La Sagrera,4.31240642,,,piso,,La Sagrera,0.401843519,11/10/2021 17:11,11/12/2021 15:47
94973554,650000, €,41.3968871,2.177252,123.0,140,4,2,1.0,,1.0, sur,8.0,,1.0,,1.0,1.0,gas,1973.0,2,Barcelona,El Fort Pienc,1.172000439,,,piso,,Tetuan,0.263480869,8/28/2021 20:59,8/29/2021 14:06
94975173,450000, €,41.3972245,2.1429521,78.0,85,3,1,1.0,1.0,1.0, norte,5.0,,1.0,,,1.0,bomba,1972.0,2,Barcelona,Sant Gervasi - Galvany,2.477828161,,,piso,,Fontana,0.994571153,8/30/2021 22:25,9/2/2021 11:01
94976017,390000, €,41.3924158,2.1893044,,62,2,1,,1.0,1.0,,1.0,,1.0,,,1.0,gas,2019.0,2,Barcelona,El Parc i la Llacuna del Poblenou,1.693768727,,,piso,,Bogatell,0.37509776,8/28/2021 17:53,8/29/2021 11:47
